,product,sales,date,region
295,chartreuse morsel,1587.0,2018-02-16,west
296,periwinkle morsel,746.25,2018-02-16,north
297,periwinkle morsel,651.25,2018-02-16,south
298,periwinkle morsel,696.25,2018-02-16,east
299,periwinkle morsel,677.5,2018-02-16,west
300,vermilion morsel,2589.81,2018-02-16,north
301,vermilion morsel,2959.07,2018-02-16,south
302,vermilion morsel,2849.29,2018-02-16,east
303,vermilion morsel,2544.9,2018-02-16,west
304,lapis morsel,1024.85,2018-02-16,north
305,lapis morsel,1014.9,2018-02-16,south
306,lapis morsel,1036.79,2018-02-16,east
307,lapis morsel,1142.26,2018-02-16,west
308,pink morsel,1785.0,2018-02-17,north
309,pink morsel,1689.0,2018-02-17,south
310,pink morsel,1641.0,2018-02-17,east
311,pink morsel,1575.0,2018-02-17,west
312,gold morsel,5634.36,2018-02-17,north
313,gold morsel,5724.27,2018-02-17,south
314,gold morsel,5234.76,2018-02-17,east
315,gold morsel,5294.7,2018-02-17,west
316,magenta morsel,1487.5,2018-02-17,north
317,magenta morsel,1257.5,2018-02-17,south
318,magenta morsel,1450.0,2018-02-17,east
319,magenta morsel,1420.0,2018-02-17,west
320,chartreuse morsel,1584.0,2018-02-17,north
321,chartreuse morsel,1719.0,2018-02-17,south
322,chartreuse morsel,1734.0,2018-02-17,east
323,chartreuse morsel,1650.0,2018-02-17,west
324,periwinkle morsel,693.75,2018-02-17,north
325,periwinkle morsel,663.75,2018-02-17,south
326,periwinkle morsel,643.75,2018-02-17,east
327,periwinkle morsel,681.25,2018-02-17,west
328,vermilion morsel,2594.8,2018-02-17,north
329,vermilion morsel,2869.25,2018-02-17,south
330,vermilion morsel,2859.27,2018-02-17,east
331,vermilion morsel,2594.8,2018-02-17,west
332,lapis morsel,1024.85,2018-02-17,north
333,lapis morsel,1192.01,2018-02-17,south
334,lapis morsel,1132.31,2018-02-17,east
335,lapis morsel,1172.11,2018-02-17,west
336,pink morsel,1644.0,2018-02-18,north
337,pink morsel,1674.0,2018-02-18,south
338,pink morsel,1551.0,2018-02-18,east
339,pink morsel,1737.0,2018-02-18,west
340,gold morsel,5204.79,2018-02-18,north
341,gold morsel,5674.32,2018-02-18,south
342,gold morsel,5394.6,2018-02-18,east
343,gold morsel,5824.17,2018-02-18,west
344,magenta morsel,1437.5,2018-02-18,north
345,magenta morsel,1265.0,2018-02-18,south
346,magenta morsel,1330.0,2018-02-18,east
347,magenta morsel,1272.5,2018-02-18,west
348,chartreuse morsel,1773.0,2018-02-18,north
349,chartreuse morsel,1536.0,2018-02-18,south
350,chartreuse morsel,1617.0,2018-02-18,east
351,chartreuse morsel,1692.0,2018-02-18,west
352,periwinkle morsel,641.25,2018-02-18,north
353,periwinkle morsel,661.25,2018-02-18,south
354,periwinkle morsel,721.25,2018-02-18,east
355,periwinkle morsel,630.0,2018-02-18,west
356,vermilion morsel,2839.31,2018-02-18,north
357,vermilion morsel,2884.2200000000003,2018-02-18,south
358,vermilion morsel,2574.84,2018-02-18,east
359,vermilion morsel,2634.7200000000003,2018-02-18,west
360,lapis morsel,1144.25,2018-02-18,north
361,lapis morsel,1066.64,2018-02-18,south
362,lapis morsel,1002.96,2018-02-18,east
363,lapis morsel,1140.27,2018-02-18,west
364,pink morsel,1563.0,2018-02-19,north
365,pink morsel,1647.0,2018-02-19,south
366,pink morsel,1605.0,2018-02-19,east
367,pink morsel,1539.0,2018-02-19,west
368,gold morsel,5614.38,2018-02-19,north
369,gold morsel,5924.07,2018-02-19,south
370,gold morsel,5924.07,2018-02-19,east
371,gold morsel,5964.03,2018-02-19,west
372,magenta morsel,1277.5,2018-02-19,north
373,magenta morsel,1272.5,2018-02-19,south
374,magenta morsel,1475.0,2018-02-19,east
375,magenta morsel,1437.5,2018-02-19,west
376,chartreuse morsel,1557.0,2018-02-19,north
377,chartreuse morsel,1563.0,2018-02-19,south
378,chartreuse morsel,1596.0,2018-02-19,east
379,chartreuse morsel,1512.0,2018-02-19,west
380,periwinkle morsel,635.0,2018-02-19,north
381,periwinkle morsel,660.0,2018-02-19,south
382,periwinkle morsel,693.75,2018-02-19,east
383,periwinkle morsel,727.5,2018-02-19,west
384,vermilion morsel,2974.04,2018-02-19,north
385,vermilion morsel,2844.3,2018-02-19,south
386,vermilion morsel,2854.28,2018-02-19,east
387,vermilion morsel,2964.06,2018-02-19,west
388,lapis morsel,1096.49,2018-02-19,north
389,lapis morsel,1000.97,2018-02-19,south
390,lapis morsel,1130.32,2018-02-19,east
391,lapis morsel,1116.39,2018-02-19,west
392,pink morsel,1698.0,2018-02-20,north
393,pink morsel,1575.0,2018-02-20,south
394,pink morsel,1500.0,2018-02-20,east
395,pink morsel,1551.0,2018-02-20,west
396,gold morsel,5804.1900000000005,2018-02-20,north
397,gold morsel,5434.56,2018-02-20,south
398,gold morsel,5684.31,2018-02-20,east
399,gold morsel,5944.05,2018-02-20,west
400,magenta morsel,1302.5,2018-02-20,north
401,magenta morsel,1457.5,2018-02-20,south
402,magenta morsel,1445.0,2018-02-20,east
403,magenta morsel,1432.5,2018-02-20,west
404,chartreuse morsel,1671.0,2018-02-20,north
405,chartreuse morsel,1746.0,2018-02-20,south
406,chartreuse morsel,1656.0,2018-02-20,east
407,chartreuse morsel,1572.0,2018-02-20,west
408,periwinkle morsel,741.25,2018-02-20,north
409,periwinkle morsel,662.5,2018-02-20,south
410,periwinkle morsel,651.25,2018-02-20,east
411,periwinkle morsel,746.25,2018-02-20,west
412,vermilion morsel,2899.19,2018-02-20,north
413,vermilion morsel,2599.79,2018-02-20,south
414,vermilion morsel,2909.17,2018-02-20,east
415,vermilion morsel,2579.83,2018-02-20,west
416,lapis morsel,1038.78,2018-02-20,north
417,lapis morsel,1060.67,2018-02-20,south
418,lapis morsel,1168.1299999999999,2018-02-20,east
419,lapis morsel,1030.82,2018-02-20,west
420,pink morsel,1737.0,2018-02-21,north
421,pink morsel,1542.0,2018-02-21,south
422,pink morsel,1665.0,2018-02-21,east
423,pink morsel,1548.0,2018-02-21,west
424,gold morsel,5744.25,2018-02-21,north
425,gold morsel,4995.0,2018-02-21,south
426,gold morsel,5574.42,2018-02-21,east
427,gold morsel,5074.92,2018-02-21,west
428,magenta morsel,1467.5,2018-02-21,north
429,magenta morsel,1422.5,2018-02-21,south
430,magenta morsel,1267.5,2018-02-21,east
431,magenta morsel,1292.5,2018-02-21,west
432,chartreuse morsel,1638.0,2018-02-21,north
433,chartreuse morsel,1689.0,2018-02-21,south
434,chartreuse morsel,1536.0,2018-02-21,east
435,chartreuse morsel,1668.0,2018-02-21,west
436,periwinkle morsel,633.75,2018-02-21,north
437,periwinkle morsel,730.0,2018-02-21,south
438,periwinkle morsel,697.5,2018-02-21,east
439,periwinkle morsel,742.5,2018-02-21,west
440,vermilion morsel,2779.4300000000003,2018-02-21,north
441,vermilion morsel,2604.78,2018-02-21,south
442,vermilion morsel,2834.32,2018-02-21,east
443,vermilion morsel,2934.1200000000003,2018-02-21,west
444,lapis morsel,1186.04,2018-02-21,north
445,lapis morsel,1138.28,2018-02-21,south
446,lapis morsel,1042.76,2018-02-21,east
447,lapis morsel,1068.6299999999999,2018-02-21,west
448,pink morsel,1635.0,2018-02-22,north
449,pink morsel,1632.0,2018-02-22,south
450,pink morsel,1668.0,2018-02-22,east
451,pink morsel,1764.0,2018-02-22,west
452,gold morsel,5284.71,2018-02-22,north
453,gold morsel,5304.6900000000005,2018-02-22,south
454,gold morsel,5154.84,2018-02-22,east
455,gold morsel,5414.58,2018-02-22,west
456,magenta morsel,1442.5,2018-02-22,north
457,magenta morsel,1312.5,2018-02-22,south
458,magenta morsel,1300.0,2018-02-22,east
459,magenta morsel,1325.0,2018-02-22,west
460,chartreuse morsel,1662.0,2018-02-22,north
461,chartreuse morsel,1584.0,2018-02-22,south
462,chartreuse morsel,1599.0,2018-02-22,east
463,chartreuse morsel,1563.0,2018-02-22,west
464,periwinkle morsel,720.0,2018-02-22,north
465,periwinkle morsel,732.5,2018-02-22,south
466,periwinkle morsel,651.25,2018-02-22,east
467,periwinkle morsel,633.75,2018-02-22,west
468,vermilion morsel,2614.76,2018-02-22,north
469,vermilion morsel,2604.78,2018-02-22,south
470,vermilion morsel,2709.57,2018-02-22,east
471,vermilion morsel,2859.27,2018-02-22,west
472,lapis morsel,1004.95,2018-02-22,north
473,lapis morsel,1010.92,2018-02-22,south
474,lapis morsel,1152.21,2018-02-22,east
475,lapis morsel,1194.0,2018-02-22,west
476,pink morsel,1533.0,2018-02-23,north
477,pink morsel,1563.0,2018-02-23,south
478,pink morsel,1641.0,2018-02-23,east
479,pink morsel,1773.0,2018-02-23,west
480,gold morsel,5184.81,2018-02-23,north
481,gold morsel,5354.64,2018-02-23,south
482,gold morsel,5504.49,2018-02-23,east
483,gold morsel,5404.59,2018-02-23,west
484,magenta morsel,1255.0,2018-02-23,north
485,magenta morsel,1445.0,2018-02-23,south
486,magenta morsel,1290.0,2018-02-23,east
487,magenta morsel,1455.0,2018-02-23,west
488,chartreuse morsel,1638.0,2018-02-23,north
489,chartreuse morsel,1581.0,2018-02-23,south
490,chartreuse morsel,1734.0,2018-02-23,east
491,chartreuse morsel,1650.0,2018-02-23,west
492,periwinkle morsel,702.5,2018-02-23,north
493,periwinkle morsel,648.75,2018-02-23,south
494,periwinkle morsel,632.5,2018-02-23,east
495,periwinkle morsel,740.0,2018-02-23,west
496,vermilion morsel,2599.79,2018-02-23,north
497,vermilion morsel,2884.2200000000003,2018-02-23,south
498,vermilion morsel,2989.01,2018-02-23,east
499,vermilion morsel,2599.79,2018-02-23,west
500,lapis morsel,996.99,2018-02-23,north
501,lapis morsel,1040.77,2018-02-23,south
502,lapis morsel,1096.49,2018-02-23,east
503,lapis morsel,1194.0,2018-02-23,west
504,pink morsel,1629.0,2018-02-24,north
505,pink morsel,1698.0,2018-02-24,south
506,pink morsel,1725.0,2018-02-24,east
507,pink morsel,1722.0,2018-02-24,west
508,gold morsel,5314.68,2018-02-24,north
509,gold morsel,5374.62,2018-02-24,south
510,gold morsel,5644.35,2018-02-24,east
511,gold morsel,5064.93,2018-02-24,west
512,magenta morsel,1295.0,2018-02-24,north
513,magenta morsel,1472.5,2018-02-24,south
514,magenta morsel,1367.5,2018-02-24,east
515,magenta morsel,1277.5,2018-02-24,west
516,chartreuse morsel,1749.0,2018-02-24,north
517,chartreuse morsel,1584.0,2018-02-24,south
518,chartreuse morsel,1560.0,2018-02-24,east
519,chartreuse morsel,1656.0,2018-02-24,west
520,periwinkle morsel,685.0,2018-02-24,north
521,periwinkle morsel,625.0,2018-02-24,south
522,periwinkle morsel,712.5,2018-02-24,east
523,periwinkle morsel,748.75,2018-02-24,west
524,vermilion morsel,2634.7200000000003,2018-02-24,north
525,vermilion morsel,2954.08,2018-02-24,south
526,vermilion morsel,2684.62,2018-02-24,east
527,vermilion morsel,2819.35,2018-02-24,west
528,lapis morsel,1190.02,2018-02-24,north
529,lapis morsel,996.99,2018-02-24,south
530,lapis morsel,1106.44,2018-02-24,east
531,lapis morsel,1094.5,2018-02-24,west
532,pink morsel,1596.0,2018-02-25,north
533,pink morsel,1710.0,2018-02-25,south
534,pink morsel,1635.0,2018-02-25,east
535,pink morsel,1659.0,2018-02-25,west
536,gold morsel,5824.17,2018-02-25,north
537,gold morsel,5994.0,2018-02-25,south
538,gold morsel,5854.14,2018-02-25,east
539,gold morsel,5734.26,2018-02-25,west
540,magenta morsel,1385.0,2018-02-25,north
541,magenta morsel,1315.0,2018-02-25,south
542,magenta morsel,1470.0,2018-02-25,east
543,magenta morsel,1415.0,2018-02-25,west
544,chartreuse morsel,1533.0,2018-02-25,north
545,chartreuse morsel,1569.0,2018-02-25,south
546,chartreuse morsel,1581.0,2018-02-25,east
547,chartreuse morsel,1563.0,2018-02-25,west
548,periwinkle morsel,676.25,2018-02-25,north
549,periwinkle morsel,627.5,2018-02-25,south
550,periwinkle morsel,647.5,2018-02-25,east
551,periwinkle morsel,716.25,2018-02-25,west
552,vermilion morsel,2949.09,2018-02-25,north
553,vermilion morsel,2699.59,2018-02-25,south
554,vermilion morsel,2679.63,2018-02-25,east
555,vermilion morsel,2924.1400000000003,2018-02-25,west
556,lapis morsel,1010.92,2018-02-25,north
557,lapis morsel,1094.5,2018-02-25,south
558,lapis morsel,1144.25,2018-02-25,east
559,lapis morsel,1078.58,2018-02-25,west
560,pink morsel,1686.0,2018-02-26,north
561,pink morsel,1533.0,2018-02-26,south
562,pink morsel,1524.0,2018-02-26,east
563,pink morsel,1530.0,2018-02-26,west
564,gold morsel,5124.87,2018-02-26,north
565,gold morsel,5864.13,2018-02-26,south
566,gold morsel,5844.150000000001,2018-02-26,east
567,gold morsel,5414.58,2018-02-26,west
568,magenta morsel,1277.5,2018-02-26,north
569,magenta morsel,1367.5,2018-02-26,south
570,magenta morsel,1367.5,2018-02-26,east
571,magenta morsel,1352.5,2018-02-26,west
572,chartreuse morsel,1707.0,2018-02-26,north
573,chartreuse morsel,1512.0,2018-02-26,south
574,chartreuse morsel,1758.0,2018-02-26,east
575,chartreuse morsel,1746.0,2018-02-26,west
576,periwinkle morsel,722.5,2018-02-26,north
577,periwinkle morsel,637.5,2018-02-26,south
578,periwinkle morsel,662.5,2018-02-26,east
579,periwinkle morsel,705.0,2018-02-26,west
580,vermilion morsel,2734.52,2018-02-26,north
581,vermilion morsel,2939.11,2018-02-26,south
582,vermilion morsel,2964.06,2018-02-26,east
583,vermilion morsel,2639.71,2018-02-26,west
584,lapis morsel,1060.67,2018-02-26,north
585,lapis morsel,1092.51,2018-02-26,south
586,lapis morsel,1186.04,2018-02-26,east
587,lapis morsel,1022.86,2018-02-26,west
588,pink morsel,1665.0,2018-02-27,north
589,pink morsel,1695.0,2018-02-27,south
590,pink morsel,1578.0,2018-02-27,east
591,pink morsel,1620.0,2018-02-27,west
592,gold morsel,5624.37,2018-02-27,north
593,gold morsel,5404.59,2018-02-27,south
594,gold morsel,5044.95,2018-02-27,east
595,gold morsel,5634.36,2018-02-27,west
596,magenta morsel,1290.0,2018-02-27,north
